brand,car_model,date_of_sale,car_price
Toyota,Camry,18/08/2019,66976
Chevrolet,Camaro,28/07/2015,13819
Chevrolet,Camaro,25/07/2020,72893
Kia,Picanto,27/02/2010,35288
Kia,Picanto,28/02/2015,38013
Honda,Accord,17/02/2021,56378
Kia,Picanto,13/10/2015,65020
Tesla,Model 3,15/11/2021,68175
Toyota,Camry,03/08/2021,67843
Nissan,Sentra,23/03/2013,65476
Honda,Accord,04/06/2015,30984
Honda,Accord,12/12/2010,23485
Honda,Accord,14/08/2018,17290
Honda,Accord,22/05/2015,97478
Toyota,Camry,10/05/2021,76128
Nissan,Sentra,22/07/2021,22253
Kia,Picanto,13/07/2015,28565
Chevrolet,Camaro,04/08/2016,34924
Nissan,Sentra,12/12/2015,64520
Honda,Accord,28/06/2020,35058
Toyota,Camry,08/08/2022,96615
Honda,Accord,15/10/2018,14414
Ford,Mustang,09/04/2013,74554
Nissan,Sentra,25/08/2019,89700
Chevrolet,Camaro,13/05/2021,59868
Chevrolet,Camaro,18/06/2020,44870
Toyota,Camry,26/02/2017,80536
Honda,Accord,13/04/2015,98396
Nissan,Sentra,26/03/2014,45018
Chevrolet,Camaro,19/02/2018,25716
Nissan,Sentra,22/05/2012,17502
Ford,Mustang,01/06/2015,45788
Tesla,Model 3,22/12/2011,83588
Tesla,Model 3,11/05/2019,50617
Toyota,Camry,17/04/2013,61287
Toyota,Camry,10/08/2011,62397
Tesla,Model 3,25/11/2012,19255
Chevrolet,Camaro,08/11/2022,54576
Chevrolet,Camaro,28/08/2019,19821
Honda,Accord,17/09/2014,63322
Chevrolet,Camaro,06/07/2022,32718
Kia,Picanto,01/07/2010,13971
Kia,Picanto,24/04/2012,85448
Kia,Picanto,26/07/2020,30520
Ford,Mustang,18/10/2019,37233
Tesla,Model 3,14/12/2011,42771
Toyota,Camry,11/02/2013,22923
Honda,Accord,05/03/2022,43396
Tesla,Model 3,10/11/2016,97161
Chevrolet,Camaro,19/04/2013,40254
Kia,Picanto,11/10/2015,75148
Honda,Accord,03/09/2022,24492
Nissan,Sentra,26/04/2021,19352
Tesla,Model 3,24/06/2017,80490
Honda,Accord,05/03/2011,51962
Kia,Picanto,02/09/2017,66591
Nissan,Sentra,04/08/2018,75759
Kia,Picanto,19/05/2020,88994
Honda,Accord,11/07/2013,47528
Kia,Picanto,08/01/2010,87150
Kia,Picanto,02/04/2017,98880
Ford,Mustang,03/02/2013,82050
Honda,Accord,14/05/2018,91320
Ford,Mustang,01/02/2016,25817
Ford,Mustang,09/11/2021,12238
Ford,Mustang,19/10/2014,66032
Chevrolet,Camaro,22/08/2020,93218
Nissan,Sentra,11/09/2015,55092
Toyota,Camry,04/02/2014,14636
Nissan,Sentra,13/11/2015,58567
Toyota,Camry,18/04/2018,53512
Tesla,Model 3,19/07/2019,49650
Ford,Mustang,17/05/2015,52330
Tesla,Model 3,05/09/2011,72904
Kia,Picanto,21/02/2014,18763
Ford,Mustang,25/11/2021,98406
Kia,Picanto,07/12/2015,58040
Tesla,Model 3,21/11/2019,29435
Ford,Mustang,21/04/2014,18802
Kia,Picanto,25/08/2022,95921
Nissan,Sentra,10/08/2022,80147
Ford,Mustang,03/02/2011,70840
Toyota,Camry,16/01/2020,43875
Toyota,Camry,04/12/2014,99299
Toyota,Camry,17/10/2011,26782
Kia,Picanto,18/09/2014,29881
Honda,Accord,11/05/2018,42366
Kia,Picanto,16/12/2021,29590
Toyota,Camry,12/09/2015,30419
Ford,Mustang,26/10/2016,95102
Nissan,Sentra,15/10/2011,61158
Nissan,Sentra,18/10/2015,49290
Honda,Accord,28/11/2022,46835
Honda,Accord,17/04/2017,44786
Kia,Picanto,18/07/2014,96309
Tesla,Model 3,04/12/2021,92904
Nissan,Sentra,04/10/2010,17885
Ford,Mustang,11/11/2021,99944
Tesla,Model 3,05/06/2021,77032
Kia,Picanto,01/08/2020,69274
Ford,Mustang,19/11/2016,78253
Ford,Mustang,05/03/2014,12736
Toyota,Camry,26/04/2018,79733
Toyota,Camry,10/07/2018,85719
Honda,Accord,08/05/2011,51435
Tesla,Model 3,27/07/2016,47645
Nissan,Sentra,26/09/2015,99964
Chevrolet,Camaro,06/09/2011,22260
Kia,Picanto,02/05/2012,26344
Nissan,Sentra,02/02/2022,68746
Tesla,Model 3,17/03/2020,68959
Kia,Picanto,14/03/2014,87783
Chevrolet,Camaro,01/01/2016,70876
Chevrolet,Camaro,20/12/2012,34664
Ford,Mustang,15/09/2014,91837
Toyota,Camry,12/07/2018,65477
Ford,Mustang,12/12/2015,30414
Kia,Picanto,18/12/2016,94441
Chevrolet,Camaro,07/08/2010,87312
Toyota,Camry,21/06/2019,17247
Kia,Picanto,15/01/2018,32862
Honda,Accord,23/04/2014,31262
Ford,Mustang,09/01/2018,58403
Ford,Mustang,03/12/2021,38064
Ford,Mustang,23/09/2012,27012
Nissan,Sentra,08/12/2011,20138
Nissan,Sentra,10/02/2011,58989
Kia,Picanto,20/07/2018,28432
Nissan,Sentra,09/09/2018,44889
Chevrolet,Camaro,11/09/2017,51198
Nissan,Sentra,13/08/2012,87187
Ford,Mustang,22/04/2016,34110
Ford,Mustang,10/12/2013,42482
Ford,Mustang,25/04/2015,31536
Chevrolet,Camaro,28/02/2020,12642
Ford,Mustang,04/09/2012,97149
Ford,Mustang,01/01/2012,38451
Ford,Mustang,16/07/2012,52309
Chevrolet,Camaro,09/08/2015,28332
Chevrolet,Camaro,10/02/2019,92441
Kia,Picanto,13/07/2011,34424
Chevrolet,Camaro,16/07/2022,49973
Chevrolet,Camaro,16/11/2011,41921
Toyota,Camry,15/05/2020,65070
Kia,Picanto,18/01/2011,76497
Tesla,Model 3,08/10/2010,61139
Tesla,Model 3,15/02/2022,40646
Toyota,Camry,04/07/2014,81004
Honda,Accord,20/10/2015,40522
Toyota,Camry,18/02/2018,78895
Tesla,Model 3,21/05/2019,48468
Chevrolet,Camaro,14/03/2013,67706
Tesla,Model 3,05/10/2015,59093
Tesla,Model 3,14/03/2016,78928
Toyota,Camry,27/10/2014,18986
Toyota,Camry,19/05/2016,10915
Tesla,Model 3,05/02/2015,64571
Toyota,Camry,27/12/2013,50915
Kia,Picanto,04/01/2014,98888
Nissan,Sentra,01/06/2011,46842
Kia,Picanto,02/09/2022,89719
Ford,Mustang,15/08/2019,77651
Toyota,Camry,04/09/2020,98407
Honda,Accord,05/03/2015,34417
Toyota,Camry,26/12/2018,86095
Tesla,Model 3,06/09/2012,51824
Honda,Accord,17/07/2017,68569
Honda,Accord,12/05/2015,57133
Nissan,Sentra,27/01/2015,86700
Honda,Accord,18/11/2012,88598
Toyota,Camry,09/01/2010,49709
Honda,Accord,07/02/2017,15646
Tesla,Model 3,09/04/2022,29868
Toyota,Camry,12/10/2014,18372
Tesla,Model 3,07/04/2014,74970
Nissan,Sentra,18/06/2013,94999
Toyota,Camry,26/02/2016,38726
Honda,Accord,25/05/2019,33547
Ford,Mustang,06/12/2019,75699
Tesla,Model 3,24/07/2017,94296
Honda,Accord,19/09/2019,13822
Toyota,Camry,26/04/2011,14666
Kia,Picanto,20/08/2010,40682
Kia,Picanto,11/12/2022,87643
Nissan,Sentra,10/10/2021,38573
Honda,Accord,18/07/2016,53905
Chevrolet,Camaro,10/08/2014,89123
Kia,Picanto,07/08/2021,62701
Toyota,Camry,26/03/2019,54454
Nissan,Sentra,18/04/2021,49807
Nissan,Sentra,24/09/2017,87818
Toyota,Camry,09/04/2010,22639
Toyota,Camry,13/08/2022,92045
Chevrolet,Camaro,22/04/2015,98404
Ford,Mustang,26/02/2017,99983
Nissan,Sentra,04/02/2021,84138
Chevrolet,Camaro,18/10/2020,13582
Nissan,Sentra,16/10/2022,48445
Kia,Picanto,16/09/2013,58748
Chevrolet,Camaro,20/10/2015,18008
Nissan,Sentra,07/12/2019,26877
Honda,Accord,11/12/2014,79695
Kia,Picanto,13/01/2016,95427
Chevrolet,Camaro,24/10/2016,11858
Chevrolet,Camaro,08/07/2022,80331
Tesla,Model 3,05/12/2021,38600
Toyota,Camry,11/10/2021,56904
Honda,Accord,15/10/2012,24817
Chevrolet,Camaro,25/11/2014,53734
Nissan,Sentra,11/09/2011,75967
Ford,Mustang,02/08/2022,94760
Kia,Picanto,17/08/2017,45111
Ford,Mustang,07/11/2020,94433
Kia,Picanto,22/01/2021,68458
Toyota,Camry,16/03/2014,33551
Toyota,Camry,16/08/2014,22609
Ford,Mustang,06/09/2011,13878
Kia,Picanto,16/01/2015,52858
Ford,Mustang,02/03/2016,87801
Tesla,Model 3,04/07/2018,66048
Tesla,Model 3,05/12/2022,73940
Ford,Mustang,18/01/2014,52193
Kia,Picanto,05/05/2010,66182
Ford,Mustang,26/08/2013,53906
Toyota,Camry,05/09/2013,58039
Tesla,Model 3,21/08/2015,98733
Tesla,Model 3,04/08/2011,75866
Kia,Picanto,28/04/2021,12922
Tesla,Model 3,23/11/2022,53626
Chevrolet,Camaro,11/05/2011,58817
Chevrolet,Camaro,14/04/2017,61793
Tesla,Model 3,24/11/2021,42230
Honda,Accord,06/07/2017,65491
Honda,Accord,01/10/2017,11061
Honda,Accord,21/10/2022,97992
Ford,Mustang,10/06/2014,72275
Honda,Accord,16/12/2019,51090
Kia,Picanto,26/05/2020,57194
Kia,Picanto,20/12/2010,60727
Toyota,Camry,08/09/2012,41997
Chevrolet,Camaro,28/10/2010,35828
Tesla,Model 3,05/12/2012,23509
Chevrolet,Camaro,05/01/2014,38442
Honda,Accord,23/04/2019,38136
Kia,Picanto,08/07/2018,49559
Chevrolet,Camaro,22/07/2012,98421
Kia,Picanto,07/12/2022,26612
Ford,Mustang,10/09/2010,95910
Honda,Accord,23/09/2019,39110
Tesla,Model 3,02/02/2011,70990
Chevrolet,Camaro,01/11/2014,10212
Honda,Accord,28/11/2019,14063
Chevrolet,Camaro,13/01/2022,44652
Kia,Picanto,25/05/2012,87992
Chevrolet,Camaro,12/09/2022,21833
Ford,Mustang,06/04/2021,11918
Honda,Accord,16/03/2016,54040
Kia,Picanto,20/08/2011,70655
Honda,Accord,11/04/2014,78136
Nissan,Sentra,08/12/2015,26173
Nissan,Sentra,22/05/2017,17639
Tesla,Model 3,13/03/2012,84088
Ford,Mustang,24/07/2013,50254
Honda,Accord,01/08/2011,19346
Chevrolet,Camaro,24/03/2018,47651
Tesla,Model 3,21/10/2022,79717
Toyota,Camry,17/06/2014,41582
Nissan,Sentra,18/04/2011,20676
Chevrolet,Camaro,19/11/2019,35492
Nissan,Sentra,21/11/2010,67492
Kia,Picanto,16/12/2020,96670
Tesla,Model 3,19/05/2019,27297
Chevrolet,Camaro,25/10/2021,31093
Kia,Picanto,12/07/2010,62842
Chevrolet,Camaro,22/08/2010,90416
Tesla,Model 3,24/06/2021,86414
Chevrolet,Camaro,07/12/2016,87022
Tesla,Model 3,22/06/2015,68098
Chevrolet,Camaro,20/08/2019,85845
Chevrolet,Camaro,11/11/2010,79080
Nissan,Sentra,25/03/2013,81923
Toyota,Camry,05/09/2011,82619
Kia,Picanto,13/11/2022,22286
Nissan,Sentra,10/05/2022,94140
Tesla,Model 3,21/04/2010,79905
Honda,Accord,19/03/2014,78717
Tesla,Model 3,24/03/2021,33763
Kia,Picanto,14/04/2011,87886
Toyota,Camry,07/09/2022,87112
Chevrolet,Camaro,16/01/2012,97370
Ford,Mustang,27/11/2018,76520
Ford,Mustang,09/11/2013,72426
Nissan,Sentra,11/11/2017,37190
Ford,Mustang,11/02/2010,41233
Kia,Picanto,10/03/2018,19030
Kia,Picanto,18/05/2011,93050
Kia,Picanto,10/09/2010,80811
Ford,Mustang,04/11/2011,64480
Toyota,Camry,01/03/2013,59726
Nissan,Sentra,13/06/2017,33593
Honda,Accord,15/08/2020,50199
Kia,Picanto,09/06/2012,93954
Honda,Accord,13/04/2013,65095
Tesla,Model 3,25/02/2011,15462
Ford,Mustang,15/11/2015,86896
Tesla,Model 3,12/01/2020,33291
Toyota,Camry,16/08/2010,19170
Ford,Mustang,26/08/2019,17935
Nissan,Sentra,26/11/2014,69490
Nissan,Sentra,13/12/2012,67775
Ford,Mustang,22/09/2019,15115
Chevrolet,Camaro,26/08/2021,97732
Honda,Accord,18/04/2013,81386
Tesla,Model 3,25/05/2021,26716
Chevrolet,Camaro,21/10/2021,50774
Honda,Accord,09/02/2010,15729
Toyota,Camry,04/08/2010,72836
Toyota,Camry,18/01/2014,19060
Tesla,Model 3,27/12/2019,48394
Chevrolet,Camaro,07/10/2012,44876
Nissan,Sentra,28/07/2013,30816
Toyota,Camry,19/05/2021,74168
Chevrolet,Camaro,05/12/2015,48914
Nissan,Sentra,23/07/2022,58964
Chevrolet,Camaro,20/03/2015,63650
Nissan,Sentra,19/09/2017,31518
Ford,Mustang,15/05/2014,56278
Kia,Picanto,27/07/2011,37901
Honda,Accord,27/12/2020,51312
Nissan,Sentra,23/12/2014,97528
Tesla,Model 3,01/07/2012,83165
Tesla,Model 3,06/07/2012,83402
Kia,Picanto,14/06/2010,13070
Honda,Accord,27/02/2012,67296
Chevrolet,Camaro,28/03/2022,48019
Toyota,Camry,21/11/2013,22427
Ford,Mustang,03/06/2013,65245
Kia,Picanto,19/06/2011,85888
Nissan,Sentra,08/03/2019,49275
Kia,Picanto,23/01/2010,89166
Ford,Mustang,03/07/2019,71218
Tesla,Model 3,24/08/2016,66624
Chevrolet,Camaro,09/06/2013,41369
Nissan,Sentra,21/03/2015,63011
Toyota,Camry,01/08/2012,82510
Kia,Picanto,01/10/2017,24626
Toyota,Camry,04/04/2022,58977
Honda,Accord,07/06/2015,75217
Kia,Picanto,28/11/2020,76835
Kia,Picanto,19/05/2016,69207
Chevrolet,Camaro,02/02/2012,89023
Toyota,Camry,10/02/2022,29859
Honda,Accord,26/02/2021,94387
Chevrolet,Camaro,06/10/2017,72789
Tesla,Model 3,16/08/2010,78770
Toyota,Camry,07/01/2020,91001
Kia,Picanto,15/12/2016,84181
Kia,Picanto,28/05/2021,65254
Ford,Mustang,19/11/2018,47011
Honda,Accord,05/12/2020,53737
Honda,Accord,19/12/2017,51408
Toyota,Camry,08/11/2012,13703
Honda,Accord,05/02/2019,26472
Toyota,Camry,14/02/2020,29514
Chevrolet,Camaro,12/01/2010,36108
Toyota,Camry,10/07/2013,25880
Ford,Mustang,01/10/2016,32486
Tesla,Model 3,23/11/2022,70622
Honda,Accord,19/01/2021,53573
Nissan,Sentra,12/07/2021,16278
Chevrolet,Camaro,13/10/2021,43858
Honda,Accord,09/05/2012,52114
Nissan,Sentra,28/06/2012,40819
Toyota,Camry,05/07/2020,71879
Nissan,Sentra,02/06/2019,24398
Kia,Picanto,27/03/2022,79009
Chevrolet,Camaro,20/01/2021,31730
Honda,Accord,16/10/2019,25850
Honda,Accord,12/06/2017,57925
Chevrolet,Camaro,23/05/2013,51261
Chevrolet,Camaro,09/12/2014,38031
Tesla,Model 3,25/07/2020,23076
Chevrolet,Camaro,23/07/2017,23734
Chevrolet,Camaro,02/11/2013,92733
Toyota,Camry,14/04/2017,21722
Ford,Mustang,02/02/2021,48628
Ford,Mustang,06/11/2010,68857
Chevrolet,Camaro,04/11/2020,72586
Chevrolet,Camaro,15/05/2019,65121
Honda,Accord,27/07/2015,94639
Kia,Picanto,04/11/2010,62061
Kia,Picanto,01/01/2015,29299
Toyota,Camry,07/03/2015,24764
Tesla,Model 3,19/05/2011,76792
Nissan,Sentra,01/04/2021,89738
Chevrolet,Camaro,02/06/2016,97408
Nissan,Sentra,07/07/2021,93618
Toyota,Camry,21/02/2018,88327
Nissan,Sentra,05/03/2016,80547
Nissan,Sentra,26/04/2015,47167
Ford,Mustang,15/01/2017,96152
Honda,Accord,21/02/2017,56605
Tesla,Model 3,20/06/2016,83559
Kia,Picanto,09/11/2016,29105
Nissan,Sentra,21/08/2013,50144
Nissan,Sentra,25/08/2017,41496
Nissan,Sentra,10/01/2022,79135
Ford,Mustang,07/12/2016,25655
Chevrolet,Camaro,14/12/2022,16827
Toyota,Camry,02/12/2012,61591
Ford,Mustang,05/05/2012,28552
Ford,Mustang,11/08/2017,70275
Tesla,Model 3,14/04/2017,20196
Chevrolet,Camaro,17/01/2015,67925
Ford,Mustang,24/11/2021,54737
Toyota,Camry,27/08/2021,62014
Honda,Accord,01/02/2020,89847
Toyota,Camry,06/05/2011,62480
Nissan,Sentra,20/12/2010,81240
Nissan,Sentra,20/10/2013,24591
Honda,Accord,08/10/2022,52679
Ford,Mustang,25/12/2016,46368
Toyota,Camry,13/02/2011,93832
Toyota,Camry,23/04/2011,48782
Ford,Mustang,04/05/2016,95940
Chevrolet,Camaro,25/10/2012,12411
Nissan,Sentra,27/01/2011,34968
Nissan,Sentra,17/09/2015,89407
Honda,Accord,08/02/2021,17265
Toyota,Camry,09/06/2017,99723
Ford,Mustang,16/05/2013,49876
Ford,Mustang,16/05/2014,19109
Toyota,Camry,13/10/2017,41230
Toyota,Camry,19/03/2012,31526
Chevrolet,Camaro,07/03/2011,18802
Toyota,Camry,06/09/2011,10857
Chevrolet,Camaro,16/05/2018,95846
Tesla,Model 3,10/11/2013,88476
Toyota,Camry,02/01/2011,76258
Nissan,Sentra,04/01/2022,33023
Chevrolet,Camaro,04/10/2010,65427
Chevrolet,Camaro,22/02/2011,69169
Nissan,Sentra,21/08/2017,23489
Nissan,Sentra,06/05/2011,51864
Honda,Accord,15/05/2015,48049
Tesla,Model 3,03/02/2011,44025
Tesla,Model 3,12/05/2015,31593
Tesla,Model 3,23/02/2010,35531
Kia,Picanto,12/07/2016,69285
Chevrolet,Camaro,09/04/2011,72772
Honda,Accord,24/04/2020,64411
Toyota,Camry,28/02/2021,78127
Ford,Mustang,18/02/2020,98746
Tesla,Model 3,04/02/2016,65933
Nissan,Sentra,03/01/2019,64364
Nissan,Sentra,13/02/2022,41224
Kia,Picanto,13/08/2010,75966
Tesla,Model 3,08/04/2013,89995
Nissan,Sentra,18/08/2020,99976
Kia,Picanto,24/12/2017,27708
Tesla,Model 3,10/03/2014,15311
Toyota,Camry,12/11/2017,41215
Chevrolet,Camaro,09/03/2021,79152
Chevrolet,Camaro,03/11/2016,89659
Toyota,Camry,10/10/2010,69304
Honda,Accord,06/09/2019,94167
Honda,Accord,06/12/2020,10094
Ford,Mustang,23/11/2021,59059
Toyota,Camry,27/08/2015,38962
Honda,Accord,23/10/2011,61059
Kia,Picanto,12/03/2021,79485
Honda,Accord,12/05/2010,96087
Kia,Picanto,18/06/2013,64658
Kia,Picanto,06/07/2021,61984
Ford,Mustang,11/09/2010,41630
Chevrolet,Camaro,19/10/2020,85599
Tesla,Model 3,27/10/2016,57791
Chevrolet,Camaro,16/12/2012,25913
Tesla,Model 3,20/05/2022,21172
Kia,Picanto,23/11/2015,79010
Nissan,Sentra,18/10/2012,60416
Tesla,Model 3,27/02/2015,78243
Kia,Picanto,21/09/2019,58878
Honda,Accord,25/11/2013,93426
Tesla,Model 3,28/08/2016,87451
Chevrolet,Camaro,01/12/2022,25784
Chevrolet,Camaro,10/06/2013,67898
Ford,Mustang,08/06/2019,36468
Chevrolet,Camaro,03/01/2015,27613
Kia,Picanto,19/03/2012,12849
Toyota,Camry,04/03/2017,59534
Toyota,Camry,15/06/2018,15673
Toyota,Camry,21/04/2018,20994
Chevrolet,Camaro,20/08/2013,98583
Nissan,Sentra,17/05/2019,60534
Ford,Mustang,04/12/2016,57466
Ford,Mustang,13/09/2015,98594
Kia,Picanto,15/11/2019,65189
Kia,Picanto,13/07/2019,51556
Nissan,Sentra,22/03/2015,95279
Tesla,Model 3,11/10/2018,97936
Honda,Accord,16/11/2016,84507
Chevrolet,Camaro,24/03/2012,31403
Honda,Accord,19/11/2017,15475
Ford,Mustang,02/10/2012,40854
Nissan,Sentra,10/10/2018,45568
Tesla,Model 3,25/08/2019,33664
Ford,Mustang,23/01/2013,91489
Tesla,Model 3,24/12/2016,37080
Chevrolet,Camaro,21/12/2014,89310
Toyota,Camry,25/08/2013,89926
Honda,Accord,14/10/2013,93264
Ford,Mustang,23/09/2014,60091
Ford,Mustang,24/06/2021,13948
Honda,Accord,12/10/2022,67983
Ford,Mustang,18/11/2021,83351
Ford,Mustang,12/09/2018,44204
Tesla,Model 3,01/02/2022,60548
Tesla,Model 3,19/09/2011,65426
Kia,Picanto,26/09/2010,25456
Tesla,Model 3,11/12/2014,53789
Chevrolet,Camaro,11/02/2011,46393
Nissan,Sentra,11/03/2018,14218
Nissan,Sentra,13/09/2020,40478
Chevrolet,Camaro,13/01/2018,63809
Chevrolet,Camaro,19/06/2015,81128
Toyota,Camry,16/02/2020,89250
Kia,Picanto,20/06/2011,32532
Ford,Mustang,23/01/2019,37041
Tesla,Model 3,21/09/2012,49441
Toyota,Camry,14/11/2011,68936
Tesla,Model 3,16/09/2010,67369
Honda,Accord,12/05/2020,19082
Kia,Picanto,20/04/2016,44425
Tesla,Model 3,05/02/2016,35027
Kia,Picanto,02/02/2012,46629
Honda,Accord,18/03/2015,63628
Ford,Mustang,08/08/2020,34720
Nissan,Sentra,12/10/2020,88775
Tesla,Model 3,18/05/2021,14711
Nissan,Sentra,21/08/2019,64329
Tesla,Model 3,02/01/2010,68142
Nissan,Sentra,06/01/2015,52633
Ford,Mustang,16/02/2011,31465
Nissan,Sentra,20/01/2015,69799
Chevrolet,Camaro,28/02/2021,16459
Toyota,Camry,15/03/2013,76998
Chevrolet,Camaro,13/02/2017,79221
Nissan,Sentra,01/07/2020,88524
Kia,Picanto,25/10/2014,58505
Honda,Accord,21/10/2020,97122
Toyota,Camry,10/10/2016,19387
Ford,Mustang,25/10/2015,23394
Toyota,Camry,20/06/2018,24016
Chevrolet,Camaro,19/06/2014,16710
Nissan,Sentra,07/12/2021,55651
Toyota,Camry,07/05/2014,82347
Chevrolet,Camaro,09/04/2021,79437
Tesla,Model 3,03/09/2018,49776
Tesla,Model 3,18/02/2016,93116
Honda,Accord,15/12/2010,88339
Honda,Accord,17/06/2022,16401
Nissan,Sentra,25/09/2012,93255
Chevrolet,Camaro,27/02/2016,42651
Ford,Mustang,17/10/2019,81849
Nissan,Sentra,09/06/2021,44470
Honda,Accord,03/03/2010,94531
Chevrolet,Camaro,22/11/2011,65026
Toyota,Camry,23/05/2010,29941
Toyota,Camry,19/04/2010,13633
Ford,Mustang,03/10/2018,56879
Toyota,Camry,21/01/2013,11394
Nissan,Sentra,22/10/2012,72274
Ford,Mustang,10/02/2010,66234
Honda,Accord,06/08/2011,58466
Kia,Picanto,17/04/2014,12814
Kia,Picanto,28/12/2016,40762
Tesla,Model 3,09/08/2020,37474
Honda,Accord,13/06/2011,18016
Nissan,Sentra,15/01/2012,17586
Toyota,Camry,16/04/2013,64643
Kia,Picanto,03/07/2010,57389
Toyota,Camry,20/09/2018,85397
Toyota,Camry,09/02/2020,68415
Toyota,Camry,08/03/2014,65954
Tesla,Model 3,28/02/2016,21895
Kia,Picanto,08/02/2010,54932
Nissan,Sentra,27/05/2022,65440
Kia,Picanto,14/06/2012,37719
Ford,Mustang,19/05/2021,85226
Chevrolet,Camaro,15/09/2019,88013
Ford,Mustang,03/09/2013,92891
Kia,Picanto,28/06/2021,45807
Tesla,Model 3,04/02/2019,69503
Ford,Mustang,12/03/2018,83497
Ford,Mustang,21/08/2018,10570
Nissan,Sentra,20/03/2022,62191
Ford,Mustang,06/06/2013,83149
Toyota,Camry,28/05/2021,67312
Tesla,Model 3,17/12/2016,39175
Kia,Picanto,23/05/2019,20501
Kia,Picanto,19/03/2017,36438
Honda,Accord,06/01/2020,99473
Honda,Accord,25/01/2015,19963
Kia,Picanto,18/05/2015,11479
Tesla,Model 3,12/07/2017,11915
Chevrolet,Camaro,05/05/2017,69224
Chevrolet,Camaro,03/12/2015,75413
Toyota,Camry,11/06/2015,10357
Ford,Mustang,15/06/2015,52010
Tesla,Model 3,06/11/2016,16616
Tesla,Model 3,06/06/2014,38143
Nissan,Sentra,18/05/2011,35136
Ford,Mustang,10/02/2017,71751
Tesla,Model 3,22/04/2010,67743
Ford,Mustang,09/12/2017,79200
Toyota,Camry,09/08/2017,96699
Toyota,Camry,09/10/2017,58721
Tesla,Model 3,08/08/2020,43258
Tesla,Model 3,24/08/2012,15246
Nissan,Sentra,10/12/2010,29841
Ford,Mustang,21/10/2016,50981
Nissan,Sentra,23/12/2021,41053
Chevrolet,Camaro,09/07/2010,26414
Honda,Accord,24/03/2017,60968
Kia,Picanto,11/06/2015,89027
Kia,Picanto,15/09/2022,82529
Tesla,Model 3,17/02/2012,68394
Nissan,Sentra,05/06/2020,84497
Toyota,Camry,24/05/2016,15808
Chevrolet,Camaro,24/03/2020,15829
Nissan,Sentra,14/06/2021,76846
Toyota,Camry,02/12/2010,85076
Toyota,Camry,24/02/2015,45959
Ford,Mustang,11/10/2015,97941
Chevrolet,Camaro,24/11/2021,32668
Ford,Mustang,27/12/2018,57625
Tesla,Model 3,23/08/2016,55163
Kia,Picanto,27/02/2012,94980
Toyota,Camry,01/06/2022,55041
Kia,Picanto,03/10/2017,46262
Kia,Picanto,22/09/2011,80146
Kia,Picanto,08/06/2022,70075
Ford,Mustang,24/11/2020,71962
Tesla,Model 3,26/05/2012,68851
Chevrolet,Camaro,12/10/2015,44903
Toyota,Camry,23/10/2021,96574
Toyota,Camry,14/11/2020,35412
Nissan,Sentra,26/08/2013,57822
Toyota,Camry,17/04/2018,95853
Tesla,Model 3,17/11/2021,79073
Honda,Accord,27/12/2016,99743
Nissan,Sentra,07/07/2012,27339
Toyota,Camry,07/06/2015,51184
Nissan,Sentra,16/04/2019,55412
Ford,Mustang,18/06/2021,97449
Kia,Picanto,08/10/2021,13719
Kia,Picanto,17/11/2019,49801
Chevrolet,Camaro,21/11/2021,51812
Toyota,Camry,16/12/2010,95961
Tesla,Model 3,17/12/2018,74126
Kia,Picanto,16/03/2020,90501
Tesla,Model 3,21/12/2019,35086
Kia,Picanto,17/10/2018,90879
Chevrolet,Camaro,11/11/2020,26296
Ford,Mustang,12/06/2022,47511
Nissan,Sentra,16/12/2015,56946
Toyota,Camry,05/04/2017,56268
Honda,Accord,18/05/2020,71618
Chevrolet,Camaro,24/07/2014,55629
Toyota,Camry,03/12/2014,13053
Tesla,Model 3,16/03/2019,18665
Tesla,Model 3,15/02/2012,57405
Kia,Picanto,27/04/2012,90385
Toyota,Camry,23/06/2022,75095
Ford,Mustang,19/04/2016,25971
Chevrolet,Camaro,14/02/2017,92390
Tesla,Model 3,21/10/2017,22801
Honda,Accord,20/03/2014,87710
Honda,Accord,13/02/2010,49085
Kia,Picanto,02/04/2017,90715
Kia,Picanto,15/01/2019,54492
Nissan,Sentra,12/06/2018,97508
Nissan,Sentra,09/01/2013,54472
Toyota,Camry,04/01/2015,46175
Tesla,Model 3,05/05/2017,82919
Toyota,Camry,11/09/2014,77650
Chevrolet,Camaro,23/07/2013,70381
Ford,Mustang,16/05/2017,35663
Kia,Picanto,21/10/2022,21251
Tesla,Model 3,22/04/2015,21325
Nissan,Sentra,18/12/2016,59325
Toyota,Camry,10/07/2013,98047
Nissan,Sentra,15/06/2014,25816
Chevrolet,Camaro,16/07/2016,15125
Chevrolet,Camaro,19/09/2018,25301
Chevrolet,Camaro,05/04/2012,14982
Tesla,Model 3,24/04/2014,71438
Tesla,Model 3,21/03/2018,72522
Honda,Accord,26/02/2010,95890
Chevrolet,Camaro,20/02/2014,85177
Nissan,Sentra,22/10/2020,98180
Kia,Picanto,20/08/2019,11962
Tesla,Model 3,03/06/2013,11289
Kia,Picanto,27/02/2012,55573
Tesla,Model 3,28/04/2019,14319
Honda,Accord,16/04/2014,85525
Chevrolet,Camaro,09/03/2021,82036
Nissan,Sentra,05/11/2011,26269
Ford,Mustang,24/09/2011,45382
Tesla,Model 3,24/12/2011,35708
Kia,Picanto,28/03/2011,53995
